Sale_Date,Customer_ID,Product_ID,Product_Category,Store_ID,Region,Quantity_Sold,Unit_Price,Payment_Method,Returned,Total_Sale_Amount,Sale_ID
45611,C0135,P0010,Grocery,S008,East,5,200.59,Net Banking,No,1002.95,T00046
45422,C0196,P0044,Electronics,S002,East,4,200.59,Cash,No,802.36,T00047
45598,C0058,P0002,Grocery,S007,West,4,200.59,UPI,Yes,802.36,T00048
45426,C0114,P0013,Toys,S006,East,4,200.59,UPI,No,802.36,T00049
45312,C0075,P0040,Electronics,S004,East,6,200.59,Cash,Yes,1203.54,T00050
45620,C0157,P0002,Toys,S007,South,8,200.59,Net Banking,No,1604.72,T00051
45458,C0120,P0020,Clothing,S004,North,8,200.59,Cash,No,1604.72,T00052
45565,C0164,P0001,Electronics,S002,North,5,200.59,UPI,No,1002.95,T00053
45380,C0021,P0037,Toys,S010,South,6,200.59,Credit Card,No,1203.54,T00054
45607,C0164,P0009,Clothing,S007,South,4,200.59,Cash,No,802.36,T00055
45305,C0138,P0017,Grocery,S008,West,9,200.59,Net Banking,No,1805.31,T00056
45533,C0101,P0009,Clothing,S002,West,8,200.59,UPI,No,1604.72,T00057
45556,C0152,P0011,Home,S005,West,1,200.59,UPI,No,200.59,T00058
45637,C0192,P0015,Clothing,S001,South,2,200.59,UPI,Yes,401.18,T00059
45344,C0177,P0024,Clothing,S007,South,9,200.59,UPI,No,1805.31,T00060
45631,C0099,P0038,Home,S008,East,8,200.59,Net Banking,No,1604.72,T00061
45383,C0036,P0035,Toys,S006,West,3,200.59,Credit Card,No,601.77,T00062
45555,C0096,P0030,Toys,S005,West,8,200.59,UPI,No,1604.72,T00063
45326,C0152,P0031,Clothing,S006,West,1,200.59,Cash,No,200.59,T00064
45497,C0151,P0049,Home,S002,North,4,200.59,Credit Card,Yes,802.36,T00065
45372,C0190,P0005,Home,S001,East,3,200.59,UPI,No,601.77,T00066
45341,C0037,P0044,Grocery,S007,West,6,200.59,Credit Card,No,1203.54,T00067
45651,C0012,P0050,Toys,S007,West,7,200.59,Cash,No,1404.13,T00068
45293,C0113,P0014,Electronics,S010,West,4,200.59,UPI,Yes,802.36,T00069
45345,C0183,P0011,Toys,S010,North,7,200.59,Cash,No,1404.13,T00070
45397,C0013,P0009,Toys,S002,North,9,200.59,Net Banking,No,1805.31,T00071
45551,C0023,P0034,Grocery,S002,South,2,200.59,UPI,No,401.18,T00072
45601,C0099,P0012,Electronics,S001,East,3,200.59,UPI,No,601.77,T00073
45482,C0105,P0035,Grocery,S010,South,5,200.59,UPI,No,1002.95,T00074
45509,C0030,P0035,Electronics,S008,East,3,200.59,UPI,No,601.77,T00075
45335,C0017,P0001,Clothing,S008,North,8,200.59,Net Banking,No,1604.72,T00076
45453,C0113,P0040,Electronics,S001,West,8,200.59,UPI,No,1604.72,T00077
45493,C0062,P0022,Grocery,S008,South,8,200.59,Credit Card,No,1604.72,T00078
45561,C0084,P0029,Toys,S009,West,9,200.59,UPI,No,1805.31,T00079
45642,C0112,P0008,Electronics,S004,South,4,200.59,Net Banking,No,802.36,T00080
45595,C0086,P0011,Electronics,S001,North,5,200.59,UPI,No,1002.95,T00081
45562,C0141,P0041,Home,S001,North,5,200.59,Credit Card,No,1002.95,T00082
45506,C0187,P0037,Toys,S003,North,8,200.59,Net Banking,No,1604.72,T00083
45543,C0019,P0014,Clothing,S005,South,7,200.59,Net Banking,No,1404.13,T00084
45481,C0177,P0030,Grocery,S005,East,9,200.59,Credit Card,Yes,1805.31,T00085
45587,C0100,P0035,Clothing,S009,South,8,200.59,Credit Card,No,1604.72,T00086
45504,C0140,P0021,Toys,S010,East,2,200.59,Credit Card,No,401.18,T00087
45499,C0189,P0037,Electronics,S002,South,4,200.59,Credit Card,No,802.36,T00088
45528,C0147,P0005,Electronics,S002,South,6,200.59,Credit Card,No,1203.54,T00089
45629,C0076,P0019,Toys,S006,North,2,200.59,Net Banking,No,401.18,T00090
45344,C0009,P0014,Electronics,S009,West,7,200.59,Net Banking,No,1404.13,T00091
45571,C0199,P0026,Electronics,S001,West,3,200.59,UPI,No,601.77,T00092
45508,C0028,P0004,Electronics,S009,East,3,200.59,UPI,No,601.77,T00093
45543,C0128,P0025,Grocery,S009,West,2,200.59,Cash,No,401.18,T00094
45479,C0052,P0045,Grocery,S009,South,8,200.59,UPI,No,1604.72,T00095
45332,C0083,P0042,Home,S005,South,6,200.59,UPI,No,1203.54,T00096
45448,C0111,P0025,Clothing,S009,North,1,200.59,Credit Card,No,200.59,T00097
45306,C0144,P0018,Toys,S004,North,1,200.59,Credit Card,No,200.59,T00098
45592,C0117,P0040,Toys,S002,West,7,200.59,UPI,No,1404.13,T00099
45356,C0069,P0008,Toys,S006,East,8,200.59,Cash,No,1604.72,T00100
45636,C0099,P0039,Home,S004,West,5,200.59,Credit Card,No,1002.95,T00101
45618,C0140,P0040,Grocery,S006,West,5,200.59,UPI,No,1002.95,T00102
45300,C0025,P0014,Home,S003,West,4,200.59,UPI,No,802.36,T00103
45635,C0180,P0032,Toys,S006,West,6,200.59,Net Banking,No,1203.54,T00104
45420,C0123,P0038,Clothing,S002,South,6,200.59,Cash,No,1203.54,T00105
45427,C0053,P0033,Electronics,S002,East,3,200.59,Net Banking,Yes,601.77,T00106
45354,C0151,P0023,Grocery,S009,South,9,200.59,Cash,Yes,1805.31,T00107
45430,C0144,P0015,Grocery,S007,East,7,200.59,Credit Card,No,1404.13,T00108
45372,C0057,P0033,Home,S003,North,1,200.59,Cash,No,200.59,T00109
45454,C0039,P0025,Grocery,S001,West,7,200.59,UPI,No,1404.13,T00110
45580,C0109,P0017,Toys,S008,South,5,200.59,UPI,No,1002.95,T00111
45552,C0181,P0033,Toys,S006,East,5,200.59,Cash,No,1002.95,T00112
45522,C0042,P0047,Home,S007,North,2,200.59,Cash,No,401.18,T00113
45332,C0186,P0002,Toys,S009,North,4,200.59,Cash,No,802.36,T00114
45319,C0167,P0014,Clothing,S005,West,6,200.59,Net Banking,No,1203.54,T00115
45426,C0142,P0040,Home,S001,East,7,200.59,Cash,Yes,1404.13,T00116
45492,C0122,P0040,Clothing,S010,South,5,200.59,Credit Card,No,1002.95,T00117
45619,C0133,P0039,Electronics,S007,West,9,200.59,Net Banking,Yes,1805.31,T00118
45559,C0163,P0006,Clothing,S005,South,3,200.59,Net Banking,No,601.77,T00119
45324,C0075,P0006,Electronics,S003,North,1,200.59,Cash,No,200.59,T00120
45339,C0146,P0003,Electronics,S009,South,4,200.59,Credit Card,No,802.36,T00121
45353,C0076,P0007,Clothing,S001,South,9,200.59,Net Banking,No,1805.31,T00122
45507,C0009,P0008,Home,S001,West,4,200.59,UPI,No,802.36,T00123
45584,C0074,P0042,Toys,S001,South,2,200.59,Net Banking,No,401.18,T00124
45390,C0186,P0015,Toys,S003,West,5,200.59,Cash,No,1002.95,T00125
45463,C0145,P0047,Electronics,S006,North,3,200.59,Credit Card,Yes,601.77,T00126
45651,C0007,P0029,Electronics,S010,West,9,200.59,Cash,No,1805.31,T00127
45505,C0174,P0033,Home,S003,West,4,200.59,UPI,No,802.36,T00128
45326,C0141,P0030,Grocery,S008,East,6,200.59,UPI,No,1203.54,T00129
45518,C0168,P0039,Clothing,S010,South,2,200.59,UPI,No,401.18,T00130
45392,C0170,P0027,Electronics,S002,North,6,200.59,Cash,No,1203.54,T00131
45422,C0137,P0036,Toys,S009,West,3,200.59,Net Banking,No,601.77,T00132
45548,C0178,P0029,Home,S003,North,9,200.59,Cash,No,1805.31,T00133
45296,C0027,P0038,Clothing,S005,East,2,200.59,Credit Card,No,401.18,T00134
45509,C0122,P0033,Home,S010,South,9,200.59,Net Banking,No,1805.31,T00135
45546,C0194,P0037,Clothing,S008,West,5,200.59,UPI,No,1002.95,T00136
45650,C0005,P0027,Clothing,S002,South,8,200.59,Cash,No,1604.72,T00137
45574,C0029,P0033,Electronics,S006,East,2,200.59,UPI,No,401.18,T00138
45498,C0165,P0004,Home,S005,East,6,200.59,UPI,No,1203.54,T00139
45306,C0166,P0022,Home,S010,North,3,200.59,Credit Card,No,601.77,T00140
45637,C0083,P0002,Toys,S009,West,5,200.59,Net Banking,No,1002.95,T00141
45333,C0136,P0010,Toys,S005,North,8,200.59,Credit Card,No,1604.72,T00142
45470,C0109,P0005,Electronics,S002,East,1,200.59,Credit Card,No,200.59,T00143
45354,C0065,P0010,Electronics,S005,South,5,200.59,Credit Card,No,1002.95,T00144
45643,C0086,P0033,Grocery,S004,North,3,200.59,UPI,No,601.77,T00145
45522,C0145,P0038,Toys,S007,North,4,200.59,Credit Card,Yes,802.36,T00146
45532,C0071,P0013,Clothing,S006,South,2,200.59,Credit Card,Yes,401.18,T00147
45343,C0045,P0031,Home,S002,North,9,200.59,Net Banking,No,1805.31,T00148
45387,C0132,P0047,Electronics,S005,South,3,200.59,Net Banking,No,601.77,T00149
45513,C0036,P0036,Home,S007,West,2,200.59,Credit Card,No,401.18,T00150
45522,C0070,P0045,Home,S007,South,9,200.59,Net Banking,No,1805.31,T00151
45528,C0159,P0024,Grocery,S005,West,7,200.59,Net Banking,No,1404.13,T00152
45434,C0019,P0015,Toys,S009,South,6,200.59,Credit Card,No,1203.54,T00153
45462,C0189,P0029,Electronics,S004,East,1,200.59,UPI,No,200.59,T00154
45320,C0108,P0008,Home,S003,East,5,200.59,Credit Card,No,1002.95,T00155
45327,C0182,P0005,Electronics,S004,West,3,200.59,Net Banking,No,601.77,T00156
45304,C0167,P0029,Clothing,S005,West,1,200.59,UPI,No,200.59,T00157
45451,C0091,P0047,Grocery,S006,East,4,200.59,Cash,No,802.36,T00158
45618,C0090,P0004,Clothing,S003,West,2,200.59,UPI,No,401.18,T00159
45478,C0019,P0012,Electronics,S002,South,2,200.59,Net Banking,No,401.18,T00160
45534,C0039,P0045,Electronics,S004,South,3,200.59,UPI,No,601.77,T00161
45377,C0126,P0002,Toys,S005,East,8,200.59,Credit Card,No,1604.72,T00162
45575,C0195,P0027,Home,S004,North,8,200.59,Cash,No,1604.72,T00163
45357,C0173,P0031,Home,S003,South,7,200.59,Cash,No,1404.13,T00164
45461,C0141,P0036,Clothing,S008,West,6,200.59,Cash,No,1203.54,T00165
45336,C0126,P0036,Grocery,S010,North,9,200.59,Net Banking,No,1805.31,T00166
45353,C0058,P0026,Home,S004,North,4,200.59,Net Banking,No,802.36,T00167
45425,C0148,P0043,Toys,S002,South,1,200.59,Cash,No,200.59,T00168
45575,C0200,P0027,Clothing,S002,South,8,200.59,UPI,No,1604.72,T00169
45319,C0061,P0005,Clothing,S001,North,7,200.59,Cash,No,1404.13,T00170
45399,C0127,P0020,Toys,S004,North,7,200.59,UPI,No,1404.13,T00171
45335,C0105,P0011,Grocery,S010,East,3,200.59,UPI,Yes,601.77,T00172
45631,C0167,P0010,Toys,S009,West,4,200.59,Net Banking,Yes,802.36,T00173
45577,C0001,P0040,Grocery,S007,East,9,200.59,UPI,No,1805.31,T00174
45622,C0131,P0038,Toys,S010,South,6,200.59,Cash,No,1203.54,T00175
45419,C0092,P0006,Toys,S007,East,5,200.59,Net Banking,No,1002.95,T00176
45639,C0190,P0008,Electronics,S007,East,3,200.59,Credit Card,No,601.77,T00177
45522,C0191,P0023,Clothing,S008,East,9,200.59,Credit Card,No,1805.31,T00178
45481,C0113,P0047,Toys,S001,East,5,200.59,Net Banking,No,1002.95,T00179
45516,C0153,P0026,Toys,S010,West,5,200.59,Cash,No,1002.95,T00180
45574,C0056,P0046,Home,S010,West,4,200.59,Credit Card,No,802.36,T00181
45412,C0161,P0043,Clothing,S008,North,4,200.59,Credit Card,No,802.36,T00182
45407,C0166,P0012,Home,S004,South,1,200.59,UPI,No,200.59,T00183
45524,C0117,P0026,Clothing,S004,East,7,200.59,UPI,No,1404.13,T00184
45550,C0134,P0013,Home,S004,North,9,200.59,Cash,No,1805.31,T00185
45650,C0058,P0040,Toys,S006,North,3,200.59,Net Banking,No,601.77,T00186
45489,C0044,P0018,Toys,S007,North,2,200.59,Cash,No,401.18,T00187
45428,C0173,P0025,Electronics,S006,West,3,200.59,Net Banking,Yes,601.77,T00188
45609,C0160,P0033,Home,S001,East,1,200.59,Credit Card,No,200.59,T00189
45456,C0173,P0047,Grocery,S008,East,6,200.59,UPI,No,1203.54,T00190
45516,C0061,P0040,Electronics,S010,South,7,200.59,Cash,Yes,1404.13,T00191
45598,C0047,P0043,Home,S007,East,2,200.59,Cash,No,401.18,T00192
45525,C0149,P0012,Home,S006,East,8,200.59,Net Banking,No,1604.72,T00193
45463,C0080,P0044,Electronics,S006,North,6,200.59,Net Banking,Yes,1203.54,T00194
45443,C0118,P0036,Toys,S005,South,4,200.59,Cash,No,802.36,T00195
45606,C0164,P0048,Home,S006,East,5,200.59,Net Banking,No,1002.95,T00196
45451,C0147,P0004,Toys,S009,West,8,200.59,Cash,No,1604.72,T00197
45387,C0020,P0005,Electronics,S010,East,3,200.59,Cash,No,601.77,T00198
45524,C0185,P0037,Toys,S009,North,3,200.59,Cash,No,601.77,T00199
45471,C0146,P0008,Clothing,S010,West,4,200.59,Credit Card,Yes,802.36,T00200
45404,C0047,P0042,Grocery,S008,North,1,200.59,Net Banking,No,200.59,T00201
45609,C0049,P0049,Home,S010,East,9,200.59,UPI,No,1805.31,T00202
45343,C0014,P0028,Grocery,S009,West,8,200.59,UPI,No,1604.72,T00203
45559,C0143,P0031,Toys,S010,South,8,200.59,Net Banking,No,1604.72,T00204
45586,C0159,P0009,Home,S008,South,6,200.59,Cash,No,1203.54,T00205
45404,C0001,P0029,Toys,S008,West,7,200.59,UPI,No,1404.13,T00206
45392,C0117,P0014,Clothing,S001,West,6,200.59,UPI,No,1203.54,T00207
45404,C0054,P0040,Electronics,S010,North,9,200.59,Net Banking,No,1805.31,T00208
45372,C0118,P0041,Home,S005,West,3,200.59,UPI,No,601.77,T00209
45478,C0003,P0022,Clothing,S004,North,3,200.59,Cash,No,601.77,T00210
45404,C0144,P0011,Clothing,S002,East,3,200.59,Net Banking,No,601.77,T00211
45293,C0185,P0023,Home,S008,North,3,200.59,Cash,No,601.77,T00212
45421,C0012,P0001,Toys,S003,West,9,200.59,UPI,No,1805.31,T00213
45511,C0074,P0046,Clothing,S004,West,4,200.59,UPI,No,802.36,T00214
45345,C0016,P0037,Grocery,S007,East,7,200.59,Cash,No,1404.13,T00215
45634,C0200,P0021,Clothing,S010,West,9,200.59,Credit Card,No,1805.31,T00216
45515,C0102,P0026,Toys,S009,West,7,200.59,UPI,No,1404.13,T00217
45516,C0152,P0046,Toys,S002,South,9,200.59,Credit Card,No,1805.31,T00218
45417,C0156,P0036,Grocery,S003,South,3,200.59,UPI,No,601.77,T00219
45421,C0117,P0023,Clothing,S004,East,4,200.59,Credit Card,No,802.36,T00220
45344,C0008,P0001,Toys,S010,North,8,200.59,Credit Card,Yes,1604.72,T00221
45463,C0122,P0040,Home,S001,South,6,200.59,Credit Card,No,1203.54,T00222
45509,C0092,P0015,Electronics,S007,North,5,200.59,Cash,No,1002.95,T00223
45451,C0164,P0021,Electronics,S002,West,4,200.59,Credit Card,No,802.36,T00224
45489,C0090,P0047,Electronics,S005,South,8,200.59,Credit Card,No,1604.72,T00225
45538,C0136,P0009,Clothing,S001,East,1,200.59,Credit Card,No,200.59,T00226
45615,C0186,P0009,Grocery,S003,East,9,200.59,UPI,No,1805.31,T00227
45494,C0060,P0010,Toys,S002,East,1,200.59,Credit Card,Yes,200.59,T00228
45475,C0178,P0026,Home,S001,South,8,200.59,UPI,No,1604.72,T00229
45414,C0028,P0041,Home,S007,North,4,200.59,Credit Card,No,802.36,T00230
45546,C0101,P0035,Clothing,S005,West,9,200.59,Credit Card,No,1805.31,T00231
45585,C0041,P0025,Electronics,S001,North,5,200.59,Cash,No,1002.95,T00232
45571,C0192,P0026,Clothing,S006,North,3,200.59,UPI,No,601.77,T00233
45616,C0155,P0011,Grocery,S005,West,9,200.59,Credit Card,No,1805.31,T00234
45389,C0191,P0038,Grocery,S003,West,9,200.59,UPI,No,1805.31,T00235
45489,C0145,P0002,Toys,S007,South,4,200.59,UPI,No,802.36,T00236
45531,C0161,P0007,Toys,S010,South,4,200.59,Net Banking,No,802.36,T00237
45435,C0157,P0018,Grocery,S009,South,8,200.59,Cash,No,1604.72,T00238
45388,C0141,P0027,Grocery,S009,South,2,200.59,Cash,No,401.18,T00239
45492,C0046,P0034,Grocery,S009,South,9,200.59,Cash,No,1805.31,T00240
45415,C0035,P0027,Clothing,S002,West,6,200.59,Net Banking,No,1203.54,T00241
45478,C0134,P0017,Grocery,S003,North,9,200.59,Net Banking,No,1805.31,T00242
45617,C0082,P0043,Home,S007,South,8,200.59,Cash,No,1604.72,T00243
45640,C0115,P0044,Electronics,S005,South,7,200.59,Net Banking,No,1404.13,T00244
45550,C0197,P0024,Grocery,S002,North,1,200.59,Net Banking,No,200.59,T00245
45439,C0047,P0025,Electronics,S003,South,3,200.59,Net Banking,No,601.77,T00246
45543,C0153,P0007,Clothing,S010,North,2,200.59,Cash,No,401.18,T00247
45637,C0194,P0006,Electronics,S006,North,5,200.59,Cash,No,1002.95,T00248
45438,C0010,P0024,Clothing,S007,West,5,200.59,Cash,No,1002.95,T00249
45439,C0056,P0033,Home,S009,East,5,200.59,Net Banking,No,1002.95,T00250
45643,C0030,P0049,Clothing,S001,West,4,200.59,Cash,No,802.36,T00251
45490,C0109,P0029,Clothing,S007,East,5,200.59,Net Banking,No,1002.95,T00252
45599,C0005,P0043,Toys,S008,East,3,200.59,Credit Card,No,601.77,T00253
45419,C0119,P0022,Grocery,S003,East,1,200.59,Net Banking,No,200.59,T00254
45330,C0033,P0026,Grocery,S004,South,5,200.59,UPI,No,1002.95,T00255
45629,C0118,P0028,Home,S010,West,9,200.59,Cash,No,1805.31,T00256
45651,C0065,P0050,Home,S006,East,9,200.59,Cash,No,1805.31,T00257
45420,C0146,P0021,Grocery,S010,North,4,200.59,UPI,No,802.36,T00258
45558,C0177,P0049,Toys,S007,South,3,200.59,Net Banking,No,601.77,T00259
45442,C0011,P0007,Grocery,S004,West,1,200.59,Credit Card,No,200.59,T00260
45589,C0085,P0017,Toys,S008,East,2,200.59,UPI,No,401.18,T00261
45390,C0026,P0020,Home,S005,North,8,200.59,UPI,No,1604.72,T00262
45554,C0063,P0041,Electronics,S001,West,1,200.59,Net Banking,No,200.59,T00263
45543,C0086,P0049,Home,S004,West,8,200.59,Cash,Yes,1604.72,T00264
45435,C0059,P0020,Home,S003,South,7,200.59,Net Banking,No,1404.13,T00265
45637,C0027,P0022,Clothing,S009,West,8,200.59,UPI,Yes,1604.72,T00266
45403,C0177,P0028,Clothing,S008,South,6,200.59,UPI,No,1203.54,T00267
45351,C0161,P0040,Clothing,S001,East,9,200.59,Cash,No,1805.31,T00268
45293,C0098,P0049,Clothing,S006,South,3,200.59,Cash,No,601.77,T00269
45595,C0105,P0007,Toys,S009,North,4,200.59,Cash,No,802.36,T00270
45545,C0099,P0001,Grocery,S007,South,6,200.59,Net Banking,No,1203.54,T00271
45431,C0129,P0032,Electronics,S004,North,8,200.59,Cash,No,1604.72,T00272
45328,C0149,P0013,Home,S001,South,5,200.59,UPI,No,1002.95,T00273
45451,C0055,P0030,Toys,S002,West,3,200.59,UPI,No,601.77,T00274
45300,C0006,P0023,Electronics,S005,East,6,200.59,Credit Card,Yes,1203.54,T00275
45524,C0197,P0019,Toys,S005,North,4,200.59,Net Banking,No,802.36,T00276
45390,C0095,P0032,Toys,S008,South,9,200.59,Credit Card,No,1805.31,T00277
45438,C0133,P0030,Home,S006,South,3,200.59,UPI,No,601.77,T00278
45595,C0102,P0029,Grocery,S008,South,4,200.59,Credit Card,No,802.36,T00279
45499,C0003,P0049,Clothing,S002,West,7,200.59,UPI,No,1404.13,T00280
45422,C0181,P0045,Grocery,S003,West,7,200.59,Credit Card,No,1404.13,T00281
45443,C0023,P0029,Home,S006,North,4,200.59,Cash,No,802.36,T00282
45345,C0053,P0030,Home,S010,North,6,200.59,Credit Card,No,1203.54,T00283
45411,C0165,P0016,Home,S003,West,3,200.59,Cash,No,601.77,T00284
45452,C0083,P0040,Electronics,S006,North,6,200.59,Cash,No,1203.54,T00285
45407,C0145,P0019,Grocery,S006,East,2,200.59,Net Banking,No,401.18,T00286
45366,C0085,P0018,Grocery,S002,East,8,200.59,Cash,No,1604.72,T00287
45404,C0078,P0001,Toys,S007,West,2,200.59,Cash,No,401.18,T00288
45395,C0110,P0014,Toys,S002,North,7,200.59,Credit Card,No,1404.13,T00289
45631,C0001,P0047,Toys,S006,South,9,200.59,UPI,No,1805.31,T00290
45545,C0051,P0050,Home,S001,East,1,200.59,Net Banking,No,200.59,T00291
45518,C0173,P0002,Grocery,S003,West,8,200.59,Cash,No,1604.72,T00292
45403,C0004,P0028,Home,S002,North,7,200.59,Net Banking,No,1404.13,T00293
45390,C0190,P0049,Electronics,S007,West,6,200.59,Credit Card,No,1203.54,T00294
45444,C0193,P0050,Toys,S004,South,6,200.59,Cash,No,1203.54,T00295
45640,C0113,P0030,Home,S008,East,6,200.59,Credit Card,Yes,1203.54,T00296
45657,C0032,P0038,Home,S006,West,9,200.59,Net Banking,No,1805.31,T00297
45629,C0034,P0004,Electronics,S010,West,2,200.59,Credit Card,Yes,401.18,T00298
45485,C0092,P0001,Clothing,S004,West,1,200.59,Net Banking,No,200.59,T00299
45601,C0095,P0008,Grocery,S005,South,6,200.59,Credit Card,No,1203.54,T00300
45454,C0072,P0029,Clothing,S009,West,8,200.59,Net Banking,No,1604.72,T00301
45499,C0039,P0039,Toys,S007,South,3,200.59,UPI,No,601.77,T00302
45460,C0154,P0003,Home,S010,South,1,200.59,Credit Card,No,200.59,T00303
45452,C0162,P0032,Electronics,S009,South,9,200.59,Credit Card,No,1805.31,T00304
45359,C0182,P0010,Electronics,S007,East,1,200.59,UPI,No,200.59,T00305
45580,C0118,P0010,Grocery,S001,East,3,200.59,UPI,No,601.77,T00306
45568,C0003,P0019,Clothing,S008,West,8,200.59,Credit Card,Yes,1604.72,T00307
45595,C0123,P0046,Grocery,S004,West,3,200.59,UPI,No,601.77,T00308
45426,C0050,P0034,Home,S003,East,4,200.59,Cash,No,802.36,T00309
45486,C0012,P0033,Grocery,S007,North,8,200.59,Net Banking,No,1604.72,T00310
45419,C0193,P0023,Electronics,S003,East,1,200.59,Net Banking,No,200.59,T00311
45324,C0054,P0028,Electronics,S008,South,6,200.59,Net Banking,No,1203.54,T00312
45467,C0133,P0032,Toys,S006,East,1,200.59,Cash,Yes,200.59,T00313
45313,C0057,P0050,Toys,S005,South,1,200.59,UPI,No,200.59,T00314
45529,C0145,P0007,Home,S004,West,8,200.59,UPI,No,1604.72,T00315
45449,C0112,P0029,Clothing,S008,North,4,200.59,Credit Card,No,802.36,T00316
45329,C0047,P0008,Grocery,S008,West,1,200.59,UPI,No,200.59,T00317
45521,C0151,P0001,Home,S001,South,7,200.59,Credit Card,No,1404.13,T00318
45656,C0085,P0003,Toys,S009,South,5,200.59,Cash,No,1002.95,T00319
45342,C0142,P0024,Grocery,S005,South,5,200.59,Net Banking,No,1002.95,T00320
45555,C0066,P0023,Toys,S004,North,1,200.59,Net Banking,No,200.59,T00321
45574,C0075,P0008,Grocery,S006,East,6,200.59,Net Banking,No,1203.54,T00322
45318,C0179,P0047,Clothing,S006,West,9,200.59,UPI,No,1805.31,T00323
45517,C0103,P0037,Home,S002,West,9,200.59,Credit Card,No,1805.31,T00324
45568,C0166,P0003,Grocery,S008,East,8,200.59,Credit Card,No,1604.72,T00325
45577,C0192,P0033,Electronics,S007,West,5,200.59,Cash,No,1002.95,T00326
45388,C0038,P0028,Electronics,S001,North,1,200.59,UPI,Yes,200.59,T00327
45575,C0050,P0047,Grocery,S005,West,9,200.59,Cash,No,1805.31,T00328
45608,C0098,P0008,Grocery,S006,South,1,200.59,Credit Card,No,200.59,T00329
45595,C0082,P0034,Grocery,S004,East,8,200.59,Credit Card,No,1604.72,T00330
45438,C0030,P0035,Electronics,S002,North,5,200.59,Net Banking,No,1002.95,T00331
45295,C0079,P0032,Electronics,S004,East,3,200.59,UPI,No,601.77,T00332
45326,C0091,P0024,Grocery,S001,North,7,200.59,Credit Card,No,1404.13,T00333
